"State, federal district or territory",Least populous,Population,Most populous,Population.1,State federal district or territory,"Avg. county land area, sq. mi. (km2)",Smallest county,"Area, sq. mi. (km2)",Largest county,"area, sq. mi. (km2)"
Alabama,Greene,9045,Jefferson,658466,Alabama,"767.4 (1,988)",Etowah County,"534.9 (1,385)",Baldwin County,"1,589.7 (4,117)"
Alaska,Yakutat,662,Anchorage,291826,Alaska,"8,545.7 (22,133)",Skagway Municipality,"452.3 (1,171)",Yukon-Koyukuk Census Area,"145,505 (376,860)"
American Samoa,Rose Atoll,0,Western District,31329,American Samoa,15.4 (40),Rose Atoll,0.083 (0.21),Western District,28.87 (74.8)
Arizona,Greenlee,8437,Maricopa,3817117,Arizona,"7,572.9 (19,614)",Santa Cruz County,"1,236.9 (3,204)",Coconino County,"18,618.8 (48,222)"
Arkansas,Calhoun,5368,Pulaski,382748,Arkansas,"693.8 (1,797)",Lafayette County,"528.2 (1,368)",Union County,"1,039.2 (2,692)"
California,Alpine,1175,Los Angeles,9818605,California,"2,685.8 (6,956)",San Francisco County,46.8 (121),San Bernardino County,"20,056.9 (51,947)"
Colorado,San Juan,699,Denver,693060,Colorado,"1,619.4 (4,194)",Broomfield County,33.0 (85),Las Animas County,"4,772.6 (12,361)"
Connecticut,Windham,118428,Fairfield,916829,Connecticut,"605.3 (1,568)",Middlesex County,369.3 (956),Litchfield County,"920.5 (2,384)"
Delaware,Kent,162310,New Castle,538479,Delaware,"649.5 (1,682)",New Castle County,"426.2 (1,104)",Sussex County,"936.0 (2,424)"
District of Columbia,District of Columbia [note 5],601723,District of Columbia,"601,723 [note 6]",District of Columbia,61.05 (158.1),District of Columbia,61.05 (158.1),District of Columbia,61.05 (158.1)
Florida,Liberty,8365,Miami-Dade,2496435,Florida,"800.4 (2,073)",Union County,243.5 (631),Collier County,"1,998.3 (5,176)"
Georgia,Taliaferro,1717,Fulton,1010562,Georgia,361.7 (937),Clarke County,119.2 (309),Ware County,"892.4 (2,311)"
Guam,Guam [note 7],159358,Guam,159358,Guam,210 (540),Guam,210 (540),Guam,210 (540)
Hawaii,Kalawao,88,Honolulu,953207,Hawaii,"1,284.5 (3,327)",Kalawao County,11.9 (31),Hawaii County,"4,028.4 (10,434)"
Idaho,Clark,982,Ada,392365,Idaho,"1,878.3 (4,865)",Payette County,"406.8 (1,054)",Idaho County,"8,477.3 (21,956)"
Illinois,Hardin,4320,Cook,5194675,Illinois,"544.3 (1,410)",Putnam County,160.1 (415),McLean County,"1,183.3 (3,065)"
Indiana,Ohio,6128,Marion,903393,Indiana,"389.4 (1,009)",Ohio County,86.1 (223),Allen County,"657.3 (1,702)"
Iowa,Adams,4029,Polk,430640,Iowa,"564.2 (1,461)",Dickinson County,380.6 (986),Kossuth County,"972.7 (2,519)"
Kansas,Greeley,1247,Johnson,544179,Kansas,"778.7 (2,017)",Wyandotte County,151.6 (393),Butler County,"1,429.8 (3,703)"
Kentucky,Robertson,2282,Jefferson,741096,Kentucky,329.1 (852),Robertson County,99.9 (259),Pike County,"786.8 (2,038)"
Louisiana,Tensas,5252,East Baton Rouge,440171,Louisiana,"675.1 (1,749)",Orleans Parish,169.4 (439),Vernon Parish,"1,327.9 (3,439)"
Maine,Piscataquis,17535,Cumberland,281674,Maine,"1,927.7 (4,993)",Sagadahoc County,253.6 (657),Aroostook County,"6,671.3 (17,279)"
Maryland,Kent,20197,Montgomery,971777,Maryland,"404.5 (1,048)",City of Baltimore,80.9 (210),Frederick County,"660.2 (1,710)"
Massachusetts,Nantucket,10172,Middlesex,1503085,Massachusetts,"557.1 (1,443)",Nantucket County,44.9 (116),Worcester County,"1,510.7 (3,913)"
Michigan,Keweenaw,2156,Wayne,1820584,Michigan,"681.2 (1,764)",Benzie County,319.7 (828),Marquette County,"1,808.4 (4,684)"
Minnesota,Traverse,3558,Hennepin,1152425,Minnesota,"915.2 (2,370)",Ramsey County,152.2 (394),St. Louis County,"6,247.4 (16,181)"
Mississippi,Issaquena,1406,Hinds,245285,Mississippi,"572.2 (1,482)",Alcorn County,"400.0 (1,036)",Yazoo County,"922.9 (2,390)"
Missouri,Worth,2171,St. Louis,998954,Missouri,"597.8 (1,548)",City of St. Louis,61.9 (160),Texas County,"1,177.2 (3,049)"
Montana,Petroleum,494,Yellowstone,147972,Montana,"2,599.0 (6,731)",Silver Bow County,"718.4 (1,861)",Beaverhead County,"5,541.6 (14,353)"
Nebraska,Arthur,460,Douglas,517110,Nebraska,"826.1 (2,140)",Sarpy County,238.9 (619),Cherry County,"5,960.4 (15,437)"
Nevada,Esmeralda,783,Clark,1951269,Nevada,"6,457.7 (16,725)",City of Carson City,144.6 (375),Nye County,"18,181.9 (47,091)"
New Hampshire,Coos,33055,Hillsborough,400721,New Hampshire,"895.3 (2,319)",Strafford County,368.9 (955),Coos County,"1,794.6 (4,648)"
New Jersey,Salem,66083,Bergen,905116,New Jersey,350.2 (907),Hudson County,46.1 (119),Burlington County,"798.5 (2,068)"
New Mexico,Harding,695,Bernalillo,662564,New Mexico,"3,675.7 (9,520)",Los Alamos County,109.1 (283),Catron County,"6,923.6 (17,932)"
New York,Hamilton,4836,Kings,2504700,New York,"760.1 (1,969)",New York County,22.8 (59),St. Lawrence County,"2,680.3 (6,942)"
North Carolina,Tyrrell,4407,Mecklenburg,919628,North Carolina,"486.2 (1,259)",Chowan County,172.4 (447),Robeson County,"949.2 (2,458)"
North Dakota,Slope,727,Cass,149778,North Dakota,"1,301.9 (3,372)",Eddy County,"630.1 (1,632)",McKenzie County,"2,760.3 (7,149)"
Northern Mariana Islands,Northern Islands Municipality,0,Saipan Municipality,48220,Northern Mariana Islands,44.75 (115.9),Rota Municipality,32.97 (85.4),Northern Islands Municipality,59.75 (154.8)
